No,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Garasi,Luas Tanah,Luas Bangunan,Agen,Kantor Agen
106,"Brandnew ,akses Jalan Lebar di Komplek Pondok Kelapa Jakarta","Rp 4,25 Miliar","Duren Sawit, Jakarta Timur",4,3,2,145 m²,250 m²,,
107, Rumah Bagus Semi Furnished Tanjung Duren,"Rp 1,5 Miliar","Tanjung Duren, Jakarta Barat",4,1,,77 m²,100 m²,,
108,Rumah New 2 Lantai Metland Free Canopy Dan Kitchen Set Metland Puri Cluster Clematis Inventasi Menjanjikan Harga Bersaing,"Rp 2,79 Miliar","Metland Puri, Jakarta Barat",5,4,2,100 m²,160 m²,,
109,"Murah Rumah Baru 3 Lt Rp.1,28m Dkt Lrt & Tol Jakarta Timur, Etty","Rp 1,28 Miliar","Pondok Kelapa, Jakarta Timur",3,3,2,40 m²,80 m²,,
110,Rumah 4kamar Dalam Cluster Kecil Di Jl. Ratna Jati Asih,"Rp 1,6 Miliar","Jati Asih, Bekasi",4,3,1,106 m²,200 m²,,
111,Rumah Tinggal Cocok Untuk Kost Dekat Dengan Kawasan Industri Jababeka,Rp 680 Juta,"Cikarang, Bekasi",3,1,,113 m²,45 m²,,
112,"Rumah 2 Lantai, Posisi Strategis, Depan Jalan Utama di Sukmajaya, Depok","Rp 2,75 Miliar","Sukmajaya, Depok",4,3,1,120 m²,110 m²,,
113,Dijual Termurah Harga Nego Rumah Furnished ( 7x20 ) Venice - Pantai Indah Kapuk,"Rp 5,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,2,140 m²,210 m²,,
114,Rumah Cantik 2 Lantai  Kencana Extension Bsd City Tangerang,"Rp 1,85 Miliar","BSD Kencana Loka, Tangerang",3,3,1,83 m²,110 m²,,
115,"Rumah Modern 65m² di Cibubur, Mulai Cicilan Rp 8 Jutaan!","Rp 1,47 Miliar","Cibubur, Jakarta Timur",3,3,1,65 m²,118 m²,,
116,Rumah di The Savia Bsd City Semi Furnish Lingkungan Asri Dan Aman,"Rp 2,35 Miliar","BSD The Savia, Tangerang",4,3,,105 m²,165 m²,,
117,Rumah 2 lantai lokasi dekat mall artha gading,Rp 895 Juta,"Tanjung Priok, Jakarta Utara",2,2,1,32 m²,54 m²,,
118,Rumah Rapih di Giri Loka Bsd Lokasi Strategis Harga Ekonomis,"Rp 3,3 Miliar","BSD Giri Loka, Tangerang",3,3,,240 m²,200 m²,,
119,Rumah Cantik Modern Siap Huni 2 Lantai di Cibubur Ciracas,"Rp 3,2 Miliar","Cibubur, Jakarta Timur",5,3,2,278 m²,250 m²,,
120,Dijual Rumah Murah Kencana Loka Bsd Tanah Luas,"Rp 2,3 Miliar","BSD, Tangerang",3,2,2,200 m²,105 m²,,
121,rumah mewah siap huni dekat toll kota wisata,Rp 965 Juta,"Bogor Barat, Bogor",3,2,2,95 m²,90 m²,,
122,Rumah Cluster Bagus Ada Kolam Renang Di Jalan Alternatif Cibubur,Rp 750 Juta,"Cibubur, Bogor",2,1,1,90 m²,70 m²,,
123,FRANS CEN-Dijual Rumah Casa Jardin.cluster. bgs.minimalis.wow keren Luas tanah= 90 m2,"Rp 2,9 Miliar","Daan Mogot, Jakarta Barat",4,3,2,90 m²,120 m²,,
124,Di jual cepat rumah hoek golf island pantai indah kapuk,"Rp 4,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,2,100 m²,200 m²,,
125,Rumah Baru Murah Dalam Cluster DP 0% 2 Juta Bisa Akad di Ciracas,Rp 950 Juta,"Ciracas, Jakarta Timur",3,2,1,45 m²,64 m²,,
126,"Brandnew ,akses Jalan Lebar di Komplek Pondok Kelapa Jakarta","Rp 4,25 Miliar","Duren Sawit, Jakarta Timur",4,3,2,145 m²,250 m²,,
127, Rumah Bagus Semi Furnished Tanjung Duren,"Rp 1,5 Miliar","Tanjung Duren, Jakarta Barat",4,1,,77 m²,100 m²,,
128,Rumah New 2 Lantai Metland Free Canopy Dan Kitchen Set Metland Puri Cluster Clematis Inventasi Menjanjikan Harga Bersaing,"Rp 2,79 Miliar","Metland Puri, Jakarta Barat",5,4,2,100 m²,160 m²,,
129,"Murah Rumah Baru 3 Lt Rp.1,28m Dkt Lrt & Tol Jakarta Timur, Etty","Rp 1,28 Miliar","Pondok Kelapa, Jakarta Timur",3,3,2,40 m²,80 m²,,
130,Rumah 4kamar Dalam Cluster Kecil Di Jl. Ratna Jati Asih,"Rp 1,6 Miliar","Jati Asih, Bekasi",4,3,1,106 m²,200 m²,,
131,Rumah Tinggal Cocok Untuk Kost Dekat Dengan Kawasan Industri Jababeka,Rp 680 Juta,"Cikarang, Bekasi",3,1,,113 m²,45 m²,,
132,"Rumah 2 Lantai, Posisi Strategis, Depan Jalan Utama di Sukmajaya, Depok","Rp 2,75 Miliar","Sukmajaya, Depok",4,3,1,120 m²,110 m²,,
133,Dijual Termurah Harga Nego Rumah Furnished ( 7x20 ) Venice - Pantai Indah Kapuk,"Rp 5,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,2,140 m²,210 m²,,
134,Rumah Cantik 2 Lantai  Kencana Extension Bsd City Tangerang,"Rp 1,85 Miliar","BSD Kencana Loka, Tangerang",3,3,1,83 m²,110 m²,,
135,"Rumah Modern 65m² di Cibubur, Mulai Cicilan Rp 8 Jutaan!","Rp 1,47 Miliar","Cibubur, Jakarta Timur",3,3,1,65 m²,118 m²,,
136,Rumah di The Savia Bsd City Semi Furnish Lingkungan Asri Dan Aman,"Rp 2,35 Miliar","BSD The Savia, Tangerang",4,3,,105 m²,165 m²,,
137,Rumah 2 lantai lokasi dekat mall artha gading,Rp 895 Juta,"Tanjung Priok, Jakarta Utara",2,2,1,32 m²,54 m²,,
138,Rumah Rapih di Giri Loka Bsd Lokasi Strategis Harga Ekonomis,"Rp 3,3 Miliar","BSD Giri Loka, Tangerang",3,3,,240 m²,200 m²,,
139,Rumah Cantik Modern Siap Huni 2 Lantai di Cibubur Ciracas,"Rp 3,2 Miliar","Cibubur, Jakarta Timur",5,3,2,278 m²,250 m²,,
140,Dijual Rumah Murah Kencana Loka Bsd Tanah Luas,"Rp 2,3 Miliar","BSD, Tangerang",3,2,2,200 m²,105 m²,,
141,Rumah 1 Lt Siap Huni  15 Mnt ke Mitra Keluarga Pratama Jatiasih Bebas Banjir J22011,Rp 740 Juta,"Jati Asih, Bekasi",2,1,,72 m²,45 m²,,
142,rumah mewah siap huni dekat toll kota wisata,Rp 965 Juta,"Bogor Barat, Bogor",3,2,2,95 m²,90 m²,,
143,Rumah Cluster Bagus Ada Kolam Renang Di Jalan Alternatif Cibubur,Rp 750 Juta,"Cibubur, Bogor",2,1,1,90 m²,70 m²,,
144,FRANS CEN-Dijual Rumah Casa Jardin.cluster. bgs.minimalis.wow keren Luas tanah= 90 m2,"Rp 2,9 Miliar","Daan Mogot, Jakarta Barat",4,3,2,90 m²,120 m²,,
145,Di jual cepat rumah hoek golf island pantai indah kapuk,"Rp 4,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,2,100 m²,200 m²,,
146,Rumah Baru Murah Dalam Cluster DP 0% 2 Juta Bisa Akad di Ciracas,Rp 950 Juta,"Ciracas, Jakarta Timur",3,2,1,45 m²,64 m²,,
147,"Brandnew ,akses Jalan Lebar di Komplek Pondok Kelapa Jakarta","Rp 4,25 Miliar","Duren Sawit, Jakarta Timur",4,3,2,145 m²,250 m²,,
148, Rumah Bagus Semi Furnished Tanjung Duren,"Rp 1,5 Miliar","Tanjung Duren, Jakarta Barat",4,1,,77 m²,100 m²,,
149,Rumah New 2 Lantai Metland Free Canopy Dan Kitchen Set Metland Puri Cluster Clematis Inventasi Menjanjikan Harga Bersaing,"Rp 2,79 Miliar","Metland Puri, Jakarta Barat",5,4,2,100 m²,160 m²,,
150,"Murah Rumah Baru 3 Lt Rp.1,28m Dkt Lrt & Tol Jakarta Timur, Etty","Rp 1,28 Miliar","Pondok Kelapa, Jakarta Timur",3,3,2,40 m²,80 m²,,
151,Rumah 4kamar Dalam Cluster Kecil Di Jl. Ratna Jati Asih,"Rp 1,6 Miliar","Jati Asih, Bekasi",4,3,1,106 m²,200 m²,,
152,Rumah Tinggal Cocok Untuk Kost Dekat Dengan Kawasan Industri Jababeka,Rp 680 Juta,"Cikarang, Bekasi",3,1,,113 m²,45 m²,,
153,"Rumah 2 Lantai, Posisi Strategis, Depan Jalan Utama di Sukmajaya, Depok","Rp 2,75 Miliar","Sukmajaya, Depok",4,3,1,120 m²,110 m²,,
