No,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Garasi,Luas Tanah,Luas Bangunan,Agen,Kantor Agen
6141,"Rumah Bagus Rawalumbu, Bekasi","Rp 9,5 Miliar","Rawalumbu, Bekasi",6,6,,2840 m²,600 m²,,
6142,"Investasi Pintar! Rumah 65/118 di Cibubur, Harga Rp 1.47 M.","Rp 1,47 Miliar","Cibubur, Jakarta Timur",3,3,1,65 m²,118 m²,,
6143,Di Jual Cepat Rumah Daan Mogot Baru Cluster Tampak Siring Jakarta Barat,"Rp 2,4 Miliar","Daan Mogot, Jakarta Barat",4,4,1,120 m²,150 m²,,
6144,"Rumah Shm 200m² - Layout Plong - Dekat Mall Living World, Pasar Delapan, Sekolah Santa Laurensia , Binus , Dekat Cluster Asri, Buana, Cemara, Intan, Harmoni , Feronia , Narada , Kirana , Jelita , Onyx, Palmyra ","Rp 3,8 Miliar","Alam Sutera, Tangerang",3,2,1,200 m²,150 m²,,
6145,Rumah Bagus Dan Siap Huni Di Harapan Indah,Rp 695 Juta,"Harapan Indah, Bekasi",3,2,1,95 m²,250 m²,,
6146,Rumah Cantik Semi Furnish,Rp 3 Miliar,"BSD City, Tangerang",4,4,2,120 m²,200 m²,,
6147,Hunian Modern Siap Huni 2menit Stasiun Lrt Harjamukti,Rp 750 Juta,"Cimanggis, Depok",3,2,2,75 m²,70 m²,,
6148,Dijual Murah Rumah Cluster Lantana Banjar Wijaya,"Rp 1,45 Miliar","Banjar Wijaya, Tangerang",3,1,1,100 m²,90 m²,,
6149,Murah Chiara Lt. 128 Suvarna Sutera Lavon Cikupa Tangerang,"Rp 1,29 Miliar","Suvarna Sutera, Tangerang",3,3,1,128 m²,115 m²,,
6150,"Rumah Victoria River Park , Homy , Siap Huni , Sangat Rapih","Rp 4,2 Miliar","BSD Victoria Park Lane, Tangerang",3,3,,200 m²,202 m²,,
6151,"JUAL Kosan CEMPAKA MAS, KEMAYORAN, JAKPUS (7 KAMAR) Jakarta Pusat","Rp 1,7 Miliar","Kemayoran, Jakarta Pusat",7,7,2,45 m²,130 m²,,
6152,HARGA TERJANGKAU!! Rumah 2 lantai Garasi 2 Mobil di Kelapa Gading,"Rp 2,5 Miliar","Kelapa Gading, Jakarta Utara",4,4,2,122 m²,150 m²,,
6153,"Dijual Rumah SIap Huni di Pulogebang Permai, Pulogebang, Jakarta Timur","Rp 1,1 Miliar","Pulogebang, Jakarta Timur",2,2,1,90 m²,100 m²,,
6154,Dijual Cepat Rumah Ada Kolam Renangnya Dalam Cluster Favorite Kota Wisata ,Rp 6 Miliar,"Cibubur, Jakarta Timur",6,6,3,330 m²,500 m²,,
6155,Dijual Cepat Rumah Terenovasi 1 Lantai Di Pulogebang Permai Jaktim,"Rp 1,1 Miliar","Pulogebang, Jakarta Timur",2,1,1,90 m²,60 m²,,
6156,Rumah 200m2 Renov 3 Lantai Pantai Indah Kapuk,"Rp 6,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,,200 m²,500 m²,,
6157,Di Jual Rumah 2 Lantai Perum Deminimalist Rawalumbu ,"Rp 1,9 Miliar","Rawalumbu, Bekasi",4,3,1,126 m²,150 m²,,
6158,Rumah siap huni 2lt PALING MURAH dalam cluster Royal Residence Pulogebang Jaktim,"Rp 1,5 Miliar","Pulogebang, Jakarta Timur",3,2,1,90 m²,150 m²,,
6159,Rumah Baru Direnovasi Lokasi Munjul Cibubur Jakarts Timur,"Rp 2,7 Miliar","Cibubur, Jakarta Timur",3,3,2,271 m²,180 m²,,
6160,Dijual Rumah Di Daerah Harapan Baru Bekasi,Rp 775 Juta,"Harapan Baru, Bekasi",4,2,,77 m²,150 m²,,
6161,"Rumah Bagus Rawalumbu, Bekasi","Rp 9,5 Miliar","Rawalumbu, Bekasi",6,6,,2840 m²,600 m²,,
6162,"Investasi Pintar! Rumah 65/118 di Cibubur, Harga Rp 1.47 M.","Rp 1,47 Miliar","Cibubur, Jakarta Timur",3,3,1,65 m²,118 m²,,
6163,Di Jual Cepat Rumah Daan Mogot Baru Cluster Tampak Siring Jakarta Barat,"Rp 2,4 Miliar","Daan Mogot, Jakarta Barat",4,4,1,120 m²,150 m²,,
6164,"Rumah Shm 200m² - Layout Plong - Dekat Mall Living World, Pasar Delapan, Sekolah Santa Laurensia , Binus , Dekat Cluster Asri, Buana, Cemara, Intan, Harmoni , Feronia , Narada , Kirana , Jelita , Onyx, Palmyra ","Rp 3,8 Miliar","Alam Sutera, Tangerang",3,2,1,200 m²,150 m²,,
6165,Rumah Bagus Dan Siap Huni Di Harapan Indah,Rp 695 Juta,"Harapan Indah, Bekasi",3,2,1,95 m²,250 m²,,
6166,Rumah Cantik Semi Furnish,Rp 3 Miliar,"BSD City, Tangerang",4,4,2,120 m²,200 m²,,
6167,Hunian Modern Siap Huni 2menit Stasiun Lrt Harjamukti,Rp 750 Juta,"Cimanggis, Depok",3,2,2,75 m²,70 m²,,
6168,Dijual Murah Rumah Cluster Lantana Banjar Wijaya,"Rp 1,45 Miliar","Banjar Wijaya, Tangerang",3,1,1,100 m²,90 m²,,
6169,Murah Chiara Lt. 128 Suvarna Sutera Lavon Cikupa Tangerang,"Rp 1,29 Miliar","Suvarna Sutera, Tangerang",3,3,1,128 m²,115 m²,,
6170,"Rumah Victoria River Park , Homy , Siap Huni , Sangat Rapih","Rp 4,2 Miliar","BSD Victoria Park Lane, Tangerang",3,3,,200 m²,202 m²,,
6171,"JUAL Kosan CEMPAKA MAS, KEMAYORAN, JAKPUS (7 KAMAR) Jakarta Pusat","Rp 1,7 Miliar","Kemayoran, Jakarta Pusat",7,7,2,45 m²,130 m²,,
6172,"Rumah Cipedak Jagakarsa, 2 LANTAI+ROOFTOP, Jaksel Jakarta Selatan","Rp 1,65 Miliar","Cipedak, Jakarta Selatan",3,3,2,72 m²,140 m²,,
6173,HARGA TERJANGKAU!! Rumah 2 lantai Garasi 2 Mobil di Kelapa Gading,"Rp 2,5 Miliar","Kelapa Gading, Jakarta Utara",4,4,2,122 m²,150 m²,,
6174,"Dijual Rumah SIap Huni di Pulogebang Permai, Pulogebang, Jakarta Timur","Rp 1,1 Miliar","Pulogebang, Jakarta Timur",2,2,1,90 m²,100 m²,,
6175,Dijual Cepat Rumah Ada Kolam Renangnya Dalam Cluster Favorite Kota Wisata ,Rp 6 Miliar,"Cibubur, Jakarta Timur",6,6,3,330 m²,500 m²,,
6176,Dijual Cepat Rumah Terenovasi 1 Lantai Di Pulogebang Permai Jaktim,"Rp 1,1 Miliar","Pulogebang, Jakarta Timur",2,1,1,90 m²,60 m²,,
6177,Rumah 200m2 Renov 3 Lantai Pantai Indah Kapuk,"Rp 6,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,,200 m²,500 m²,,
6178,Di Jual Rumah 2 Lantai Perum Deminimalist Rawalumbu ,"Rp 1,9 Miliar","Rawalumbu, Bekasi",4,3,1,126 m²,150 m²,,
6179,Rumah siap huni 2lt PALING MURAH dalam cluster Royal Residence Pulogebang Jaktim,"Rp 1,5 Miliar","Pulogebang, Jakarta Timur",3,2,1,90 m²,150 m²,,
6180,Rumah Baru Direnovasi Lokasi Munjul Cibubur Jakarts Timur,"Rp 2,7 Miliar","Cibubur, Jakarta Timur",3,3,2,271 m²,180 m²,,
6181,Dijual Rumah Di Daerah Harapan Baru Bekasi,Rp 775 Juta,"Harapan Baru, Bekasi",4,2,,77 m²,150 m²,,
6182,"Rumah Bagus Rawalumbu, Bekasi","Rp 9,5 Miliar","Rawalumbu, Bekasi",6,6,,2840 m²,600 m²,,
6183,"Investasi Pintar! Rumah 65/118 di Cibubur, Harga Rp 1.47 M.","Rp 1,47 Miliar","Cibubur, Jakarta Timur",3,3,1,65 m²,118 m²,,
6184,Di Jual Cepat Rumah Daan Mogot Baru Cluster Tampak Siring Jakarta Barat,"Rp 2,4 Miliar","Daan Mogot, Jakarta Barat",4,4,1,120 m²,150 m²,,
6185,"Rumah Shm 200m² - Layout Plong - Dekat Mall Living World, Pasar Delapan, Sekolah Santa Laurensia , Binus , Dekat Cluster Asri, Buana, Cemara, Intan, Harmoni , Feronia , Narada , Kirana , Jelita , Onyx, Palmyra ","Rp 3,8 Miliar","Alam Sutera, Tangerang",3,2,1,200 m²,150 m²,,
6186,Rumah Bagus Dan Siap Huni Di Harapan Indah,Rp 695 Juta,"Harapan Indah, Bekasi",3,2,1,95 m²,250 m²,,
6187,Rumah Cantik Semi Furnish,Rp 3 Miliar,"BSD City, Tangerang",4,4,2,120 m²,200 m²,,
6188,Hunian Modern Siap Huni 2menit Stasiun Lrt Harjamukti,Rp 750 Juta,"Cimanggis, Depok",3,2,2,75 m²,70 m²,,
6189,Dijual Murah Rumah Cluster Lantana Banjar Wijaya,"Rp 1,45 Miliar","Banjar Wijaya, Tangerang",3,1,1,100 m²,90 m²,,
6190,Murah Chiara Lt. 128 Suvarna Sutera Lavon Cikupa Tangerang,"Rp 1,29 Miliar","Suvarna Sutera, Tangerang",3,3,1,128 m²,115 m²,,
6191,"Rumah Victoria River Park , Homy , Siap Huni , Sangat Rapih","Rp 4,2 Miliar","BSD Victoria Park Lane, Tangerang",3,3,,200 m²,202 m²,,
6192,"Rumah Cipedak Jagakarsa, 2 LANTAI+ROOFTOP, Jaksel Jakarta Selatan","Rp 1,65 Miliar","Cipedak, Jakarta Selatan",3,3,2,72 m²,140 m²,,
6193,HARGA TERJANGKAU!! Rumah 2 lantai Garasi 2 Mobil di Kelapa Gading,"Rp 2,5 Miliar","Kelapa Gading, Jakarta Utara",4,4,2,122 m²,150 m²,,
6194,"Dijual Rumah SIap Huni di Pulogebang Permai, Pulogebang, Jakarta Timur","Rp 1,1 Miliar","Pulogebang, Jakarta Timur",2,2,1,90 m²,100 m²,,
6195,Dijual Cepat Rumah Ada Kolam Renangnya Dalam Cluster Favorite Kota Wisata ,Rp 6 Miliar,"Cibubur, Jakarta Timur",6,6,3,330 m²,500 m²,,
6196,Dijual Cepat Rumah Terenovasi 1 Lantai Di Pulogebang Permai Jaktim,"Rp 1,1 Miliar","Pulogebang, Jakarta Timur",2,1,1,90 m²,60 m²,,
6197,Rumah 200m2 Renov 3 Lantai Pantai Indah Kapuk,"Rp 6,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,,200 m²,500 m²,,
6198,Di Jual Rumah 2 Lantai Perum Deminimalist Rawalumbu ,"Rp 1,9 Miliar","Rawalumbu, Bekasi",4,3,1,126 m²,150 m²,,
6199,Rumah siap huni 2lt PALING MURAH dalam cluster Royal Residence Pulogebang Jaktim,"Rp 1,5 Miliar","Pulogebang, Jakarta Timur",3,2,1,90 m²,150 m²,,
6200,Rumah Baru Direnovasi Lokasi Munjul Cibubur Jakarts Timur,"Rp 2,7 Miliar","Cibubur, Jakarta Timur",3,3,2,271 m²,180 m²,,
6201,Dijual Rumah Di Daerah Harapan Baru Bekasi,Rp 775 Juta,"Harapan Baru, Bekasi",4,2,,77 m²,150 m²,,
6202,"Rumah Bagus Rawalumbu, Bekasi","Rp 9,5 Miliar","Rawalumbu, Bekasi",6,6,,2840 m²,600 m²,,
6203,"Investasi Pintar! Rumah 65/118 di Cibubur, Harga Rp 1.47 M.","Rp 1,47 Miliar","Cibubur, Jakarta Timur",3,3,1,65 m²,118 m²,,
6204,Di Jual Cepat Rumah Daan Mogot Baru Cluster Tampak Siring Jakarta Barat,"Rp 2,4 Miliar","Daan Mogot, Jakarta Barat",4,4,1,120 m²,150 m²,,
6205,"Rumah Shm 200m² - Layout Plong - Dekat Mall Living World, Pasar Delapan, Sekolah Santa Laurensia , Binus , Dekat Cluster Asri, Buana, Cemara, Intan, Harmoni , Feronia , Narada , Kirana , Jelita , Onyx, Palmyra ","Rp 3,8 Miliar","Alam Sutera, Tangerang",3,2,1,200 m²,150 m²,,
6206,Rumah Bagus Dan Siap Huni Di Harapan Indah,Rp 695 Juta,"Harapan Indah, Bekasi",3,2,1,95 m²,250 m²,,
6207,Rumah Cantik Semi Furnish,Rp 3 Miliar,"BSD City, Tangerang",4,4,2,120 m²,200 m²,,
6208,Hunian Modern Siap Huni 2menit Stasiun Lrt Harjamukti,Rp 750 Juta,"Cimanggis, Depok",3,2,2,75 m²,70 m²,,
6209,Dijual Murah Rumah Cluster Lantana Banjar Wijaya,"Rp 1,45 Miliar","Banjar Wijaya, Tangerang",3,1,1,100 m²,90 m²,,
6210,Murah Chiara Lt. 128 Suvarna Sutera Lavon Cikupa Tangerang,"Rp 1,29 Miliar","Suvarna Sutera, Tangerang",3,3,1,128 m²,115 m²,,
6211,"Rumah Victoria River Park , Homy , Siap Huni , Sangat Rapih","Rp 4,2 Miliar","BSD Victoria Park Lane, Tangerang",3,3,,200 m²,202 m²,,
6212,"Rumah Cipedak Jagakarsa, 2 LANTAI+ROOFTOP, Jaksel Jakarta Selatan","Rp 1,65 Miliar","Cipedak, Jakarta Selatan",3,3,2,72 m²,140 m²,,
6213,HARGA TERJANGKAU!! Rumah 2 lantai Garasi 2 Mobil di Kelapa Gading,"Rp 2,5 Miliar","Kelapa Gading, Jakarta Utara",4,4,2,122 m²,150 m²,,
6214,"Dijual Rumah SIap Huni di Pulogebang Permai, Pulogebang, Jakarta Timur","Rp 1,1 Miliar","Pulogebang, Jakarta Timur",2,2,1,90 m²,100 m²,,
6215,Dijual Cepat Rumah Ada Kolam Renangnya Dalam Cluster Favorite Kota Wisata ,Rp 6 Miliar,"Cibubur, Jakarta Timur",6,6,3,330 m²,500 m²,,
6216,Dijual Cepat Rumah Terenovasi 1 Lantai Di Pulogebang Permai Jaktim,"Rp 1,1 Miliar","Pulogebang, Jakarta Timur",2,1,1,90 m²,60 m²,,
6217,Rumah 200m2 Renov 3 Lantai Pantai Indah Kapuk,"Rp 6,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,,200 m²,500 m²,,
6218,Di Jual Rumah 2 Lantai Perum Deminimalist Rawalumbu ,"Rp 1,9 Miliar","Rawalumbu, Bekasi",4,3,1,126 m²,150 m²,,
6219,Rumah siap huni 2lt PALING MURAH dalam cluster Royal Residence Pulogebang Jaktim,"Rp 1,5 Miliar","Pulogebang, Jakarta Timur",3,2,1,90 m²,150 m²,,
6220,Rumah Baru Direnovasi Lokasi Munjul Cibubur Jakarts Timur,"Rp 2,7 Miliar","Cibubur, Jakarta Timur",3,3,2,271 m²,180 m²,,
6221,Dijual Rumah Di Daerah Harapan Baru Bekasi,Rp 775 Juta,"Harapan Baru, Bekasi",4,2,,77 m²,150 m²,,
6222,"Rumah Bagus Rawalumbu, Bekasi","Rp 9,5 Miliar","Rawalumbu, Bekasi",6,6,,2840 m²,600 m²,,
6223,"Investasi Pintar! Rumah 65/118 di Cibubur, Harga Rp 1.47 M.","Rp 1,47 Miliar","Cibubur, Jakarta Timur",3,3,1,65 m²,118 m²,,
6224,Di Jual Cepat Rumah Daan Mogot Baru Cluster Tampak Siring Jakarta Barat,"Rp 2,4 Miliar","Daan Mogot, Jakarta Barat",4,4,1,120 m²,150 m²,,
6225,"Rumah Shm 200m² - Layout Plong - Dekat Mall Living World, Pasar Delapan, Sekolah Santa Laurensia , Binus , Dekat Cluster Asri, Buana, Cemara, Intan, Harmoni , Feronia , Narada , Kirana , Jelita , Onyx, Palmyra ","Rp 3,8 Miliar","Alam Sutera, Tangerang",3,2,1,200 m²,150 m²,,
6226,Rumah Bagus Dan Siap Huni Di Harapan Indah,Rp 695 Juta,"Harapan Indah, Bekasi",3,2,1,95 m²,250 m²,,
6227,Rumah Cantik Semi Furnish,Rp 3 Miliar,"BSD City, Tangerang",4,4,2,120 m²,200 m²,,
6228,Hunian Modern Siap Huni 2menit Stasiun Lrt Harjamukti,Rp 750 Juta,"Cimanggis, Depok",3,2,2,75 m²,70 m²,,
6229,Dijual Murah Rumah Cluster Lantana Banjar Wijaya,"Rp 1,45 Miliar","Banjar Wijaya, Tangerang",3,1,1,100 m²,90 m²,,
6230,Murah Chiara Lt. 128 Suvarna Sutera Lavon Cikupa Tangerang,"Rp 1,29 Miliar","Suvarna Sutera, Tangerang",3,3,1,128 m²,115 m²,,
6231,"Rumah Victoria River Park , Homy , Siap Huni , Sangat Rapih","Rp 4,2 Miliar","BSD Victoria Park Lane, Tangerang",3,3,,200 m²,202 m²,,
6232,Dijual Murah Rumah Di Daan Mogot Baru – Lokasi Strategis & Bebas Banjir,"Rp 2,47 Miliar","Daan Mogot, Jakarta Barat",3,3,,120 m²,150 m²,,
6233,"Rumah Cipedak Jagakarsa, 2 LANTAI+ROOFTOP, Jaksel Jakarta Selatan","Rp 1,65 Miliar","Cipedak, Jakarta Selatan",3,3,2,72 m²,140 m²,,
6234,HARGA TERJANGKAU!! Rumah 2 lantai Garasi 2 Mobil di Kelapa Gading,"Rp 2,5 Miliar","Kelapa Gading, Jakarta Utara",4,4,2,122 m²,150 m²,,
6235,"Dijual Rumah SIap Huni di Pulogebang Permai, Pulogebang, Jakarta Timur","Rp 1,1 Miliar","Pulogebang, Jakarta Timur",2,2,1,90 m²,100 m²,,
6236,Dijual Cepat Rumah Ada Kolam Renangnya Dalam Cluster Favorite Kota Wisata ,Rp 6 Miliar,"Cibubur, Jakarta Timur",6,6,3,330 m²,500 m²,,
6237,Dijual Cepat Rumah Terenovasi 1 Lantai Di Pulogebang Permai Jaktim,"Rp 1,1 Miliar","Pulogebang, Jakarta Timur",2,1,1,90 m²,60 m²,,
6238,Rumah 200m2 Renov 3 Lantai Pantai Indah Kapuk,"Rp 6,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,,200 m²,500 m²,,
6239,Di Jual Rumah 2 Lantai Perum Deminimalist Rawalumbu ,"Rp 1,9 Miliar","Rawalumbu, Bekasi",4,3,1,126 m²,150 m²,,
6240,Rumah siap huni 2lt PALING MURAH dalam cluster Royal Residence Pulogebang Jaktim,"Rp 1,5 Miliar","Pulogebang, Jakarta Timur",3,2,1,90 m²,150 m²,,
6241,Rumah Baru Direnovasi Lokasi Munjul Cibubur Jakarts Timur,"Rp 2,7 Miliar","Cibubur, Jakarta Timur",3,3,2,271 m²,180 m²,,
6242,Dijual Rumah Di Daerah Harapan Baru Bekasi,Rp 775 Juta,"Harapan Baru, Bekasi",4,2,,77 m²,150 m²,,
6243,"Rumah Bagus Rawalumbu, Bekasi","Rp 9,5 Miliar","Rawalumbu, Bekasi",6,6,,2840 m²,600 m²,,
6244,"Investasi Pintar! Rumah 65/118 di Cibubur, Harga Rp 1.47 M.","Rp 1,47 Miliar","Cibubur, Jakarta Timur",3,3,1,65 m²,118 m²,,
6245,Di Jual Cepat Rumah Daan Mogot Baru Cluster Tampak Siring Jakarta Barat,"Rp 2,4 Miliar","Daan Mogot, Jakarta Barat",4,4,1,120 m²,150 m²,,
6246,"Rumah Shm 200m² - Layout Plong - Dekat Mall Living World, Pasar Delapan, Sekolah Santa Laurensia , Binus , Dekat Cluster Asri, Buana, Cemara, Intan, Harmoni , Feronia , Narada , Kirana , Jelita , Onyx, Palmyra ","Rp 3,8 Miliar","Alam Sutera, Tangerang",3,2,1,200 m²,150 m²,,
6247,Rumah Bagus Dan Siap Huni Di Harapan Indah,Rp 695 Juta,"Harapan Indah, Bekasi",3,2,1,95 m²,250 m²,,
6248,Rumah Cantik Semi Furnish,Rp 3 Miliar,"BSD City, Tangerang",4,4,2,120 m²,200 m²,,
6249,Hunian Modern Siap Huni 2menit Stasiun Lrt Harjamukti,Rp 750 Juta,"Cimanggis, Depok",3,2,2,75 m²,70 m²,,
6250,Dijual Murah Rumah Cluster Lantana Banjar Wijaya,"Rp 1,45 Miliar","Banjar Wijaya, Tangerang",3,1,1,100 m²,90 m²,,
6251,Murah Chiara Lt. 128 Suvarna Sutera Lavon Cikupa Tangerang,"Rp 1,29 Miliar","Suvarna Sutera, Tangerang",3,3,1,128 m²,115 m²,,
6252,Dijual Murah Rumah Di Daan Mogot Baru – Lokasi Strategis & Bebas Banjir,"Rp 2,47 Miliar","Daan Mogot, Jakarta Barat",3,3,,120 m²,150 m²,,
6253,"Rumah Cipedak Jagakarsa, 2 LANTAI+ROOFTOP, Jaksel Jakarta Selatan","Rp 1,65 Miliar","Cipedak, Jakarta Selatan",3,3,2,72 m²,140 m²,,
6254,HARGA TERJANGKAU!! Rumah 2 lantai Garasi 2 Mobil di Kelapa Gading,"Rp 2,5 Miliar","Kelapa Gading, Jakarta Utara",4,4,2,122 m²,150 m²,,
6255,"Dijual Rumah SIap Huni di Pulogebang Permai, Pulogebang, Jakarta Timur","Rp 1,1 Miliar","Pulogebang, Jakarta Timur",2,2,1,90 m²,100 m²,,
6256,Dijual Cepat Rumah Ada Kolam Renangnya Dalam Cluster Favorite Kota Wisata ,Rp 6 Miliar,"Cibubur, Jakarta Timur",6,6,3,330 m²,500 m²,,
6257,Dijual Cepat Rumah Terenovasi 1 Lantai Di Pulogebang Permai Jaktim,"Rp 1,1 Miliar","Pulogebang, Jakarta Timur",2,1,1,90 m²,60 m²,,
6258,Rumah 200m2 Renov 3 Lantai Pantai Indah Kapuk,"Rp 6,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,,200 m²,500 m²,,
6259,Di Jual Rumah 2 Lantai Perum Deminimalist Rawalumbu ,"Rp 1,9 Miliar","Rawalumbu, Bekasi",4,3,1,126 m²,150 m²,,
6260,Rumah siap huni 2lt PALING MURAH dalam cluster Royal Residence Pulogebang Jaktim,"Rp 1,5 Miliar","Pulogebang, Jakarta Timur",3,2,1,90 m²,150 m²,,
6261,Rumah Baru Direnovasi Lokasi Munjul Cibubur Jakarts Timur,"Rp 2,7 Miliar","Cibubur, Jakarta Timur",3,3,2,271 m²,180 m²,,
6262,Dijual Rumah Di Daerah Harapan Baru Bekasi,Rp 775 Juta,"Harapan Baru, Bekasi",4,2,,77 m²,150 m²,,
6263,"Rumah Bagus Rawalumbu, Bekasi","Rp 9,5 Miliar","Rawalumbu, Bekasi",6,6,,2840 m²,600 m²,,
6264,"Investasi Pintar! Rumah 65/118 di Cibubur, Harga Rp 1.47 M.","Rp 1,47 Miliar","Cibubur, Jakarta Timur",3,3,1,65 m²,118 m²,,
6265,Di Jual Cepat Rumah Daan Mogot Baru Cluster Tampak Siring Jakarta Barat,"Rp 2,4 Miliar","Daan Mogot, Jakarta Barat",4,4,1,120 m²,150 m²,,
6266,"Rumah Shm 200m² - Layout Plong - Dekat Mall Living World, Pasar Delapan, Sekolah Santa Laurensia , Binus , Dekat Cluster Asri, Buana, Cemara, Intan, Harmoni , Feronia , Narada , Kirana , Jelita , Onyx, Palmyra ","Rp 3,8 Miliar","Alam Sutera, Tangerang",3,2,1,200 m²,150 m²,,
6267,Rumah Bagus Dan Siap Huni Di Harapan Indah,Rp 695 Juta,"Harapan Indah, Bekasi",3,2,1,95 m²,250 m²,,
6268,Rumah Cantik Semi Furnish,Rp 3 Miliar,"BSD City, Tangerang",4,4,2,120 m²,200 m²,,
6269,Hunian Modern Siap Huni 2menit Stasiun Lrt Harjamukti,Rp 750 Juta,"Cimanggis, Depok",3,2,2,75 m²,70 m²,,
6270,Dijual Murah Rumah Cluster Lantana Banjar Wijaya,"Rp 1,45 Miliar","Banjar Wijaya, Tangerang",3,1,1,100 m²,90 m²,,
6271,Murah Chiara Lt. 128 Suvarna Sutera Lavon Cikupa Tangerang,"Rp 1,29 Miliar","Suvarna Sutera, Tangerang",3,3,1,128 m²,115 m²,,
6272,Dijual Murah Rumah Di Daan Mogot Baru – Lokasi Strategis & Bebas Banjir,"Rp 2,47 Miliar","Daan Mogot, Jakarta Barat",3,3,,120 m²,150 m²,,
6273,"Rumah Cipedak Jagakarsa, 2 LANTAI+ROOFTOP, Jaksel Jakarta Selatan","Rp 1,65 Miliar","Cipedak, Jakarta Selatan",3,3,2,72 m²,140 m²,,
6274,HARGA TERJANGKAU!! Rumah 2 lantai Garasi 2 Mobil di Kelapa Gading,"Rp 2,5 Miliar","Kelapa Gading, Jakarta Utara",4,4,2,122 m²,150 m²,,
6275,"Dijual Rumah SIap Huni di Pulogebang Permai, Pulogebang, Jakarta Timur","Rp 1,1 Miliar","Pulogebang, Jakarta Timur",2,2,1,90 m²,100 m²,,
6276,Dijual Cepat Rumah Ada Kolam Renangnya Dalam Cluster Favorite Kota Wisata ,Rp 6 Miliar,"Cibubur, Jakarta Timur",6,6,3,330 m²,500 m²,,
6277,Dijual Cepat Rumah Terenovasi 1 Lantai Di Pulogebang Permai Jaktim,"Rp 1,1 Miliar","Pulogebang, Jakarta Timur",2,1,1,90 m²,60 m²,,
6278,Rumah 200m2 Renov 3 Lantai Pantai Indah Kapuk,"Rp 6,5 Miliar","Pantai Indah Kapuk, Jakarta Utara",3,3,,200 m²,500 m²,,
6279,Di Jual Rumah 2 Lantai Perum Deminimalist Rawalumbu ,"Rp 1,9 Miliar","Rawalumbu, Bekasi",4,3,1,126 m²,150 m²,,
6280,Rumah siap huni 2lt PALING MURAH dalam cluster Royal Residence Pulogebang Jaktim,"Rp 1,5 Miliar","Pulogebang, Jakarta Timur",3,2,1,90 m²,150 m²,,
6281,Rumah Baru Direnovasi Lokasi Munjul Cibubur Jakarts Timur,"Rp 2,7 Miliar","Cibubur, Jakarta Timur",3,3,2,271 m²,180 m²,,
6282,Dijual Rumah Di Daerah Harapan Baru Bekasi,Rp 775 Juta,"Harapan Baru, Bekasi",4,2,,77 m²,150 m²,,
6283,"Rumah Bagus Rawalumbu, Bekasi","Rp 9,5 Miliar","Rawalumbu, Bekasi",6,6,,2840 m²,600 m²,,
6284,"Investasi Pintar! Rumah 65/118 di Cibubur, Harga Rp 1.47 M.","Rp 1,47 Miliar","Cibubur, Jakarta Timur",3,3,1,65 m²,118 m²,,
6285,Di Jual Cepat Rumah Daan Mogot Baru Cluster Tampak Siring Jakarta Barat,"Rp 2,4 Miliar","Daan Mogot, Jakarta Barat",4,4,1,120 m²,150 m²,,
6286,"Rumah Shm 200m² - Layout Plong - Dekat Mall Living World, Pasar Delapan, Sekolah Santa Laurensia , Binus , Dekat Cluster Asri, Buana, Cemara, Intan, Harmoni , Feronia , Narada , Kirana , Jelita , Onyx, Palmyra ","Rp 3,8 Miliar","Alam Sutera, Tangerang",3,2,1,200 m²,150 m²,,
6287,Rumah Bagus Dan Siap Huni Di Harapan Indah,Rp 695 Juta,"Harapan Indah, Bekasi",3,2,1,95 m²,250 m²,,
6288,Rumah Cantik Semi Furnish,Rp 3 Miliar,"BSD City, Tangerang",4,4,2,120 m²,200 m²,,
6289,Hunian Modern Siap Huni 2menit Stasiun Lrt Harjamukti,Rp 750 Juta,"Cimanggis, Depok",3,2,2,75 m²,70 m²,,
6290,Dijual Murah Rumah Cluster Lantana Banjar Wijaya,"Rp 1,45 Miliar","Banjar Wijaya, Tangerang",3,1,1,100 m²,90 m²,,
6291,Murah Chiara Lt. 128 Suvarna Sutera Lavon Cikupa Tangerang,"Rp 1,29 Miliar","Suvarna Sutera, Tangerang",3,3,1,128 m²,115 m²,,
6292,HOT SALE!! Rumah Cluster 3 Kamar Tidur 15 Menit dari Harapan Indah,Rp 485 Juta,"Harapan Indah, Bekasi",3,2,,60 m²,50 m²,,
6293,Cluster Ready Stock 300 Meter Dari Pintu Tol! Dp 0%,Rp 800 Juta,"Cibubur, Jakarta Timur",3,2,2,70 m²,50 m²,,
6294,Dijual Murah Rumah Di Daan Mogot Baru – Lokasi Strategis & Bebas Banjir,"Rp 2,47 Miliar","Daan Mogot, Jakarta Barat",3,3,,120 m²,150 m²,,
6295,"Rumah Cipedak Jagakarsa, 2 LANTAI+ROOFTOP, Jaksel Jakarta Selatan","Rp 1,65 Miliar","Cipedak, Jakarta Selatan",3,3,2,72 m²,140 m²,,
